Concurso,Data,D/SEMAN,1º PRÊMIO,S 1º,MC 1º,MC P/I 1º,P/I 1º,D 1º,D P/I 1º,GP 1º,GP P/I 1º,BICHO 1º,2º PRÊMIO,S 2º,MC 2º,MC P/I 2º,P/I 2º,D 2º,D P/I 2º,GP 2º,GP P/I 2º,BICHO 2º,3º PRÊMIO,S 3º,MC 3º,MC P/I 3º,P/I 3º,D 3º,D P/I 3º,GP 3º,GP P/I 3º,BICHO 3º,4º PRÊMIO,S 4º,MC 4º,MC P/I 4º,P/I 4º,D 4º,D P/I 4º,GP 4º,GP P/I 4º,BICHO 4º,5º PRÊMIO,S 5º,MC 5º,MC P/I 5º,P/I 5º,D 5º,D P/I 5º,GP 5º,GP P/I 5º,BICHO 5º
1,1962-09-15,sábado,5349,"[5,3,4,9]",53,"[I,I]","[I,I,P,I]",49,"[P,I]",13,IMPAR,GALO,8031,"[8,0,3,1]",80,"[P,P]","[P,P,I,I]",31,"[I,I]",08,PAR,CAMELO,6492,"[6,4,9,2]",64,"[P,P]","[P,P,I,P]",92,"[I,P]",23,IMPAR,URSO,5151,"[5,1,5,1]",51,"[I,I]","[I,I,I,I]",51,"[I,I]",13,IMPAR,GALO,1416,"[1,4,1,6]",14,"[I,P]","[I,P,I,P]",16,"[I,P]",04,PAR,BORBOLETA
2,1962-09-22,sábado,3334,"[3,3,3,4]",33,"[I,I]","[I,I,I,P]",34,"[I,P]",09,IMPAR,COBRA,4714,"[4,7,1,4]",47,"[P,I]","[P,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,967,"[0,9,6,7]",09,"[P,I]","[P,I,P,I]",67,"[P,I]",17,IMPAR,MACACO,6468,"[6,4,6,8]",64,"[P,P]","[P,P,P,P]",68,"[P,P]",17,IMPAR,MACACO,8452,"[8,4,5,2]",84,"[P,P]","[P,P,I,P]",52,"[I,P]",13,IMPAR,GALO
3,1962-09-29,sábado,7793,"[7,7,9,3]",77,"[I,I]","[I,I,I,I]",93,"[I,I]",24,PAR,VEADO,5637,"[5,6,3,7]",56,"[I,P]","[I,P,I,I]",37,"[I,I]",10,PAR,COELHO,1505,"[1,5,0,5]",15,"[I,I]","[I,I,P,I]",05,"[P,I]",02,PAR,ÁGUIA,4184,"[4,1,8,4]",41,"[P,I]","[P,I,P,P]",84,"[P,P]",21,IMPAR,TOURO,5711,"[5,7,1,1]",57,"[I,I]","[I,I,I,I]",11,"[I,I]",03,IMPAR,BURRO
4,1962-10-03,quarta-feira,896,"[0,8,9,6]",08,"[P,P]","[P,P,I,P]",96,"[I,P]",24,PAR,VEADO,7354,"[7,3,5,4]",73,"[I,I]","[I,I,I,P]",54,"[I,P]",14,PAR,GATO,8461,"[8,4,6,1]",84,"[P,P]","[P,P,P,I]",61,"[P,I]",16,PAR,LEÃO,1951,"[1,9,5,1]",19,"[I,I]","[I,I,I,I]",51,"[I,I]",13,IMPAR,GALO,3569,"[3,5,6,9]",35,"[I,I]","[I,I,P,I]",69,"[P,I]",18,PAR,PORCO
5,1962-10-06,sábado,3972,"[3,9,7,2]",39,"[I,I]","[I,I,I,P]",72,"[I,P]",18,PAR,PORCO,3280,"[3,2,8,0]",32,"[I,P]","[I,P,P,P]",80,"[P,P]",20,PAR,PERU,3664,"[3,6,6,4]",36,"[I,P]","[I,P,P,P]",64,"[P,P]",16,PAR,LEÃO,4058,"[4,0,5,8]",40,"[P,P]","[P,P,I,P]",58,"[I,P]",15,IMPAR,JACARÉ,3746,"[3,7,4,6]",37,"[I,I]","[I,I,P,P]",46,"[P,P]",12,PAR,ELEFANTE
6,1962-10-10,quarta-feira,934,"[0,9,3,4]",09,"[P,I]","[P,I,I,P]",34,"[I,P]",09,IMPAR,COBRA,5267,"[5,2,6,7]",52,"[I,P]","[I,P,P,I]",67,"[P,I]",17,IMPAR,MACACO,3690,"[3,6,9,0]",36,"[I,P]","[I,P,I,P]",90,"[I,P]",23,IMPAR,URSO,4257,"[4,2,5,7]",42,"[P,P]","[P,P,I,I]",57,"[I,I]",15,IMPAR,JACARÉ,2504,"[2,5,0,4]",25,"[P,I]","[P,I,P,P]",04,"[P,P]",01,IMPAR,AVESTRUZ
7,1962-10-13,sábado,1314,"[1,3,1,4]",13,"[I,I]","[I,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,660,"[0,6,6,0]",06,"[P,P]","[P,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,1472,"[1,4,7,2]",14,"[I,P]","[I,P,I,P]",72,"[I,P]",18,PAR,PORCO,7130,"[7,1,3,0]",71,"[I,I]","[I,I,I,P]",30,"[I,P]",08,PAR,CAMELO,810,"[0,8,1,0]",08,"[P,P]","[P,P,I,P]",10,"[I,P]",03,IMPAR,BURRO
8,1962-10-17,quarta-feira,1096,"[1,0,9,6]",10,"[I,P]","[I,P,I,P]",96,"[I,P]",24,PAR,VEADO,1329,"[1,3,2,9]",13,"[I,I]","[I,I,P,I]",29,"[P,I]",08,PAR,CAMELO,5331,"[5,3,3,1]",53,"[I,I]","[I,I,I,I]",31,"[I,I]",08,PAR,CAMELO,6235,"[6,2,3,5]",62,"[P,P]","[P,P,I,I]",35,"[I,I]",09,IMPAR,COBRA,3141,"[3,1,4,1]",31,"[I,I]","[I,I,P,I]",41,"[P,I]",11,IMPAR,CAVALO
9,1962-10-20,sábado,5728,"[5,7,2,8]",57,"[I,I]","[I,I,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO,382,"[0,3,8,2]",03,"[P,I]","[P,I,P,P]",82,"[P,P]",21,IMPAR,TOURO,2260,"[2,2,6,0]",22,"[P,P]","[P,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,8491,"[8,4,9,1]",84,"[P,P]","[P,P,I,I]",91,"[I,I]",23,IMPAR,URSO,7274,"[7,2,7,4]",72,"[I,P]","[I,P,I,P]",74,"[I,P]",19,IMPAR,PAVÃO
10,1962-10-24,quarta-feira,338,"[0,3,3,8]",03,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,7703,"[7,7,0,3]",77,"[I,I]","[I,I,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,2749,"[2,7,4,9]",27,"[P,I]","[P,I,P,I]",49,"[P,I]",13,IMPAR,GALO,1370,"[1,3,7,0]",13,"[I,I]","[I,I,I,P]",70,"[I,P]",18,PAR,PORCO,7915,"[7,9,1,5]",79,"[I,I]","[I,I,I,I]",15,"[I,I]",04,PAR,BORBOLETA
