Concurso,Data,D/SEMAN,M 1º,C 1º,D 1º,U 1º,M 2º,C 2º,D 2º,U 2º,M 3º,C 3º,D 3º,U 3º,M 4º,C 4º,D 4º,U 4º,M 5º,C 5º,D 5º,U 5º
1,1962-09-15,sábado,5,3,4,9,8,0,3,1,6,4,9,2,5,1,5,1,1,4,1,6
2,1962-09-22,sábado,3,3,3,4,4,7,1,4,0,9,6,7,6,4,6,8,8,4,5,2
3,1962-09-29,sábado,7,7,9,3,5,6,3,7,1,5,0,5,4,1,8,4,5,7,1,1
4,1962-10-03,quarta-feira,0,8,9,6,7,3,5,4,8,4,6,1,1,9,5,1,3,5,6,9
5,1962-10-06,sábado,3,9,7,2,3,2,8,0,3,6,6,4,4,0,5,8,3,7,4,6
6,1962-10-10,quarta-feira,0,9,3,4,5,2,6,7,3,6,9,0,4,2,5,7,2,5,0,4
7,1962-10-13,sábado,1,3,1,4,0,6,6,0,1,4,7,2,7,1,3,0,0,8,1,0
8,1962-10-17,quarta-feira,1,0,9,6,1,3,2,9,5,3,3,1,6,2,3,5,3,1,4,1
9,1962-10-20,sábado,5,7,2,8,0,3,8,2,2,2,6,0,8,4,9,1,7,2,7,4
10,1962-10-24,quarta-feira,0,3,3,8,7,7,0,3,2,7,4,9,1,3,7,0,7,9,1,5
11,1962-10-27,sábado,3,2,6,4,6,0,7,0,4,6,1,1,7,0,2,3,0,6,3,7
12,1962-10-31,quarta-feira,7,0,5,8,8,8,9,7,4,4,4,4,6,4,7,8,0,9,6,2
13,1962-11-07,quarta-feira,5,2,7,5,3,1,2,9,9,1,7,6,1,9,2,1,5,8,4,2
14,1962-11-10,sábado,3,9,3,2,5,2,8,2,4,7,1,5,3,4,0,8,8,8,0,3
15,1962-11-14,quarta-feira,0,8,0,9,5,0,4,1,1,9,4,2,9,5,1,0,9,2,0,7
16,1962-11-17,sábado,6,5,3,6,5,7,5,2,6,0,3,5,9,7,7,5,9,1,7,5
17,1962-11-21,quarta-feira,5,9,1,3,2,1,7,3,1,4,5,4,1,3,6,3,5,0,1,0
18,1962-11-24,sábado,7,7,1,6,7,8,9,1,6,1,3,9,7,7,9,2,5,3,0,1
19,1962-11-28,quarta-feira,0,4,0,7,3,5,9,4,3,7,8,9,6,6,7,7,3,5,6,5
20,1962-12-01,sábado,4,4,1,3,6,2,6,7,2,3,6,3,1,3,3,9,6,5,2,4
21,1962-12-05,quarta-feira,9,8,5,9,1,7,9,6,7,4,3,8,0,4,5,6,7,2,3,8
22,1962-12-12,quarta-feira,6,6,3,7,0,2,8,4,3,1,8,5,4,8,9,6,2,6,1,3
23,1962-12-15,sábado,0,1,2,2,5,1,6,9,7,5,4,8,9,5,7,0,9,4,2,4
24,1962-12-19,quarta-feira,9,4,7,1,3,3,3,6,1,6,0,4,0,5,9,2,4,3,7,3
25,1962-12-22,sábado,3,4,5,7,2,0,7,9,8,5,9,4,3,0,9,4,1,3,3,8
26,1962-12-26,quarta-feira,1,8,6,5,1,8,6,7,1,9,7,2,3,7,8,5,8,4,6,5
27,1962-12-29,sábado,6,1,9,5,7,8,2,8,7,0,4,9,7,6,3,7,5,7,4,4
28,1963-01-02,quarta-feira,9,0,6,3,5,6,7,3,5,4,7,9,2,3,4,7,6,5,9,7
29,1963-01-05,sábado,6,5,8,4,2,6,6,2,3,5,6,6,2,0,9,4,1,2,4,3
30,1963-01-09,quarta-feira,5,7,9,3,3,3,1,2,3,0,3,9,0,5,4,0,9,4,1,5
31,1963-01-12,sábado,6,8,0,1,9,4,2,5,9,5,3,7,2,5,4,7,5,7,2,4
32,1963-01-16,quarta-feira,0,6,8,9,9,5,3,3,2,4,9,1,1,2,1,1,6,2,9,8
33,1963-01-19,sábado,2,3,9,3,2,4,2,0,2,3,0,2,9,4,1,0,1,7,1,5
34,1963-01-23,quarta-feira,8,9,1,4,2,5,8,4,4,4,0,1,0,9,6,4,2,3,1,4
35,1963-01-26,sábado,9,4,4,6,1,6,1,7,2,5,4,4,3,8,1,7,0,3,2,8
36,1963-01-30,quarta-feira,8,6,2,0,0,9,7,4,8,9,3,9,7,4,3,8,4,0,4,8
37,1963-02-02,sábado,0,5,7,8,2,9,3,0,8,9,3,8,2,7,9,4,2,2,8,1
38,1963-02-06,quarta-feira,8,8,3,8,2,3,9,7,3,5,3,1,3,1,3,8,9,2,6,7
39,1963-02-09,sábado,4,2,9,1,7,3,6,3,9,6,4,1,2,3,4,1,4,0,3,2
40,1963-02-13,quarta-feira,2,0,8,5,1,0,6,9,5,6,6,6,3,5,1,6,7,5,3,5
41,1963-02-16,sábado,3,9,7,9,2,2,4,7,2,9,3,9,1,1,6,9,2,1,0,2
42,1963-02-20,quarta-feira,8,4,0,3,8,6,3,0,5,3,0,1,4,1,9,0,2,9,9,3
43,1963-02-23,sábado,2,3,4,1,4,1,8,7,0,5,7,9,0,2,5,1,1,1,3,3
44,1963-03-02,sábado,6,9,0,8,4,4,3,0,9,1,5,2,3,0,7,6,8,3,9,1
45,1963-03-06,quarta-feira,4,0,5,7,5,5,8,8,8,9,3,6,3,3,2,2,9,6,6,2
46,1963-03-09,sábado,4,3,6,1,5,7,5,9,0,3,2,2,9,8,2,6,0,5,9,6
47,1963-03-13,quarta-feira,7,6,5,0,0,3,7,2,9,9,9,5,6,1,2,5,0,0,9,7
48,1963-03-16,sábado,4,9,1,5,1,2,2,3,6,6,5,4,7,1,9,8,1,6,8,4
49,1963-03-20,quarta-feira,3,4,9,6,9,2,4,2,4,6,2,2,5,5,4,7,0,6,2,5
