Concurso,Data,D/SEMAN,Prêmio
1,1962-09-15,sábado,5349
1,1962-09-15,sábado,8031
1,1962-09-15,sábado,6492
1,1962-09-15,sábado,5151
1,1962-09-15,sábado,1416
2,1962-09-22,sábado,3334
2,1962-09-22,sábado,4714
2,1962-09-22,sábado,967
2,1962-09-22,sábado,6468
2,1962-09-22,sábado,8452
3,1962-09-29,sábado,7793
3,1962-09-29,sábado,5637
3,1962-09-29,sábado,1505
3,1962-09-29,sábado,4184
3,1962-09-29,sábado,5711
4,1962-10-03,quarta-feira,896
4,1962-10-03,quarta-feira,7354
4,1962-10-03,quarta-feira,8461
4,1962-10-03,quarta-feira,1951
4,1962-10-03,quarta-feira,3569
5,1962-10-06,sábado,3972
5,1962-10-06,sábado,3280
5,1962-10-06,sábado,3664
5,1962-10-06,sábado,4058
5,1962-10-06,sábado,3746
6,1962-10-10,quarta-feira,934
6,1962-10-10,quarta-feira,5267
6,1962-10-10,quarta-feira,3690
6,1962-10-10,quarta-feira,4257
6,1962-10-10,quarta-feira,2504
7,1962-10-13,sábado,1314
7,1962-10-13,sábado,660
7,1962-10-13,sábado,1472
7,1962-10-13,sábado,7130
7,1962-10-13,sábado,810
8,1962-10-17,quarta-feira,1096
8,1962-10-17,quarta-feira,1329
8,1962-10-17,quarta-feira,5331
8,1962-10-17,quarta-feira,6235
8,1962-10-17,quarta-feira,3141
9,1962-10-20,sábado,5728
9,1962-10-20,sábado,382
9,1962-10-20,sábado,2260
9,1962-10-20,sábado,8491
9,1962-10-20,sábado,7274
10,1962-10-24,quarta-feira,338
10,1962-10-24,quarta-feira,7703
10,1962-10-24,quarta-feira,2749
10,1962-10-24,quarta-feira,1370
10,1962-10-24,quarta-feira,7915
11,1962-10-27,sábado,3264
11,1962-10-27,sábado,6070
11,1962-10-27,sábado,4611
11,1962-10-27,sábado,7023
11,1962-10-27,sábado,637
12,1962-10-31,quarta-feira,7058
12,1962-10-31,quarta-feira,8897
12,1962-10-31,quarta-feira,4444
12,1962-10-31,quarta-feira,6478
12,1962-10-31,quarta-feira,962
13,1962-11-07,quarta-feira,5275
13,1962-11-07,quarta-feira,3129
13,1962-11-07,quarta-feira,9176
13,1962-11-07,quarta-feira,1921
13,1962-11-07,quarta-feira,5842
14,1962-11-10,sábado,3932
14,1962-11-10,sábado,5282
14,1962-11-10,sábado,4715
14,1962-11-10,sábado,3408
14,1962-11-10,sábado,8803
15,1962-11-14,quarta-feira,809
15,1962-11-14,quarta-feira,5041
15,1962-11-14,quarta-feira,1942
15,1962-11-14,quarta-feira,9510
15,1962-11-14,quarta-feira,9207
16,1962-11-17,sábado,6536
