Concurso,Data,D 5/1
1,1962-09-15,16
1,1962-09-15,51
1,1962-09-15,92
1,1962-09-15,31
1,1962-09-15,49
2,1962-09-22,52
2,1962-09-22,68
2,1962-09-22,67
2,1962-09-22,14
2,1962-09-22,34
3,1962-09-29,11
3,1962-09-29,84
3,1962-09-29,5
3,1962-09-29,37
3,1962-09-29,93
4,1962-10-03,69
4,1962-10-03,51
4,1962-10-03,61
4,1962-10-03,54
4,1962-10-03,96
5,1962-10-06,46
5,1962-10-06,58
5,1962-10-06,64
5,1962-10-06,80
5,1962-10-06,72
6,1962-10-10,4
6,1962-10-10,57
6,1962-10-10,90
6,1962-10-10,67
6,1962-10-10,34
7,1962-10-13,10
7,1962-10-13,30
7,1962-10-13,72
7,1962-10-13,60
7,1962-10-13,14
8,1962-10-17,41
8,1962-10-17,35
8,1962-10-17,31
8,1962-10-17,29
8,1962-10-17,96
9,1962-10-20,74
9,1962-10-20,91
9,1962-10-20,60
9,1962-10-20,82
9,1962-10-20,28
10,1962-10-24,15
10,1962-10-24,70
10,1962-10-24,49
10,1962-10-24,3
10,1962-10-24,38
11,1962-10-27,37
11,1962-10-27,23
11,1962-10-27,11
11,1962-10-27,70
11,1962-10-27,64
12,1962-10-31,62
12,1962-10-31,78
12,1962-10-31,44
12,1962-10-31,97
12,1962-10-31,58
13,1962-11-07,42
13,1962-11-07,21
13,1962-11-07,76
13,1962-11-07,29
13,1962-11-07,75
14,1962-11-10,3
14,1962-11-10,8
14,1962-11-10,15
14,1962-11-10,82
14,1962-11-10,32
15,1962-11-14,7
15,1962-11-14,10
15,1962-11-14,42
15,1962-11-14,41
15,1962-11-14,9
16,1962-11-17,75
16,1962-11-17,75
16,1962-11-17,35
16,1962-11-17,52
16,1962-11-17,36
17,1962-11-21,10
17,1962-11-21,63
17,1962-11-21,54
17,1962-11-21,73
17,1962-11-21,13
18,1962-11-24,1
18,1962-11-24,92
18,1962-11-24,39
18,1962-11-24,91
18,1962-11-24,16
19,1962-11-28,65
19,1962-11-28,77
19,1962-11-28,89
19,1962-11-28,94
19,1962-11-28,7
20,1962-12-01,24
20,1962-12-01,39
20,1962-12-01,63
20,1962-12-01,67
20,1962-12-01,13
21,1962-12-05,38
21,1962-12-05,56
21,1962-12-05,38
21,1962-12-05,96
21,1962-12-05,59
22,1962-12-12,13
22,1962-12-12,96
22,1962-12-12,85
22,1962-12-12,84
22,1962-12-12,37
23,1962-12-15,24
23,1962-12-15,70
23,1962-12-15,48
23,1962-12-15,69
23,1962-12-15,22
24,1962-12-19,73
24,1962-12-19,92
24,1962-12-19,4
24,1962-12-19,36
24,1962-12-19,71
25,1962-12-22,38
25,1962-12-22,94
25,1962-12-22,94
25,1962-12-22,79
25,1962-12-22,57
26,1962-12-26,65
26,1962-12-26,85
26,1962-12-26,72
26,1962-12-26,67
26,1962-12-26,65
27,1962-12-29,44
27,1962-12-29,37
27,1962-12-29,49
27,1962-12-29,28
27,1962-12-29,95
28,1963-01-02,97
28,1963-01-02,47
28,1963-01-02,79
28,1963-01-02,73
28,1963-01-02,63
29,1963-01-05,43
29,1963-01-05,94
29,1963-01-05,66
29,1963-01-05,62
29,1963-01-05,84
30,1963-01-09,15
30,1963-01-09,40
30,1963-01-09,39
30,1963-01-09,12
30,1963-01-09,93
31,1963-01-12,24
31,1963-01-12,47
31,1963-01-12,37
31,1963-01-12,25
31,1963-01-12,1
32,1963-01-16,98
32,1963-01-16,11
32,1963-01-16,91
32,1963-01-16,33
32,1963-01-16,89
33,1963-01-19,15
33,1963-01-19,10
33,1963-01-19,2
33,1963-01-19,20
33,1963-01-19,93
34,1963-01-23,14
34,1963-01-23,64
34,1963-01-23,1
34,1963-01-23,84
34,1963-01-23,14
35,1963-01-26,28
35,1963-01-26,17
35,1963-01-26,44
35,1963-01-26,17
35,1963-01-26,46
36,1963-01-30,48
36,1963-01-30,38
36,1963-01-30,39
36,1963-01-30,74
36,1963-01-30,20
37,1963-02-02,81
37,1963-02-02,94
37,1963-02-02,38
37,1963-02-02,30
37,1963-02-02,78
38,1963-02-06,67
38,1963-02-06,38
38,1963-02-06,31
38,1963-02-06,97
38,1963-02-06,38
39,1963-02-09,32
39,1963-02-09,41
39,1963-02-09,41
39,1963-02-09,63
39,1963-02-09,91
40,1963-02-13,35
40,1963-02-13,16
40,1963-02-13,66
40,1963-02-13,69
40,1963-02-13,85
41,1963-02-16,2
41,1963-02-16,69
41,1963-02-16,39
41,1963-02-16,47
41,1963-02-16,79
42,1963-02-20,93
42,1963-02-20,90
42,1963-02-20,1
42,1963-02-20,30
42,1963-02-20,3
43,1963-02-23,33
43,1963-02-23,51
43,1963-02-23,79
43,1963-02-23,87
43,1963-02-23,41
44,1963-03-02,91
44,1963-03-02,76
44,1963-03-02,52
44,1963-03-02,30
44,1963-03-02,8
45,1963-03-06,62
45,1963-03-06,22
45,1963-03-06,36
45,1963-03-06,88
45,1963-03-06,57
46,1963-03-09,96
46,1963-03-09,26
46,1963-03-09,22
46,1963-03-09,59
46,1963-03-09,61
47,1963-03-13,97
47,1963-03-13,25
47,1963-03-13,95
47,1963-03-13,72
47,1963-03-13,50
48,1963-03-16,84
48,1963-03-16,98
48,1963-03-16,54
48,1963-03-16,23
48,1963-03-16,15
49,1963-03-20,25
49,1963-03-20,47
49,1963-03-20,22
49,1963-03-20,42
49,1963-03-20,96
50,1963-03-23,63
50,1963-03-23,40
50,1963-03-23,93
50,1963-03-23,30
50,1963-03-23,41
51,1963-03-27,84
51,1963-03-27,52
51,1963-03-27,25
51,1963-03-27,79
51,1963-03-27,2
52,1963-03-30,99
52,1963-03-30,88
52,1963-03-30,21
52,1963-03-30,19
52,1963-03-30,60
53,1963-04-03,50
53,1963-04-03,75
53,1963-04-03,8
53,1963-04-03,30
53,1963-04-03,13
54,1963-04-06,89
54,1963-04-06,90
54,1963-04-06,48
54,1963-04-06,25
54,1963-04-06,34
55,1963-04-10,86
55,1963-04-10,35
55,1963-04-10,33
55,1963-04-10,1
55,1963-04-10,71
56,1963-04-17,7
56,1963-04-17,86
56,1963-04-17,32
56,1963-04-17,40
56,1963-04-17,72
57,1963-04-20,56
57,1963-04-20,11
57,1963-04-20,14
57,1963-04-20,93
57,1963-04-20,28
58,1963-04-24,54
58,1963-04-24,48
58,1963-04-24,60
58,1963-04-24,46
58,1963-04-24,87
59,1963-04-27,27
59,1963-04-27,6
59,1963-04-27,24
59,1963-04-27,45
59,1963-04-27,17
60,1963-05-04,86
60,1963-05-04,14
60,1963-05-04,31
60,1963-05-04,77
60,1963-05-04,50
61,1963-05-08,26
61,1963-05-08,88
61,1963-05-08,3
61,1963-05-08,78
61,1963-05-08,24
62,1963-05-11,30
62,1963-05-11,97
62,1963-05-11,4
62,1963-05-11,27
62,1963-05-11,7
63,1963-05-15,78
63,1963-05-15,53
63,1963-05-15,67
63,1963-05-15,90
63,1963-05-15,95
64,1963-05-18,27
64,1963-05-18,2
64,1963-05-18,61
64,1963-05-18,90
64,1963-05-18,5
65,1963-05-22,33
65,1963-05-22,12
65,1963-05-22,51
65,1963-05-22,27
65,1963-05-22,18
66,1963-05-25,20
66,1963-05-25,2
66,1963-05-25,14
66,1963-05-25,13
66,1963-05-25,39
67,1963-05-29,29
67,1963-05-29,8
67,1963-05-29,46
67,1963-05-29,10
67,1963-05-29,69
68,1963-06-01,77
68,1963-06-01,33
68,1963-06-01,42
68,1963-06-01,44
68,1963-06-01,11
69,1963-06-05,89
69,1963-06-05,76
69,1963-06-05,74
69,1963-06-05,34
69,1963-06-05,57
70,1963-06-08,66
70,1963-06-08,43
70,1963-06-08,69
70,1963-06-08,44
70,1963-06-08,78
71,1963-06-12,87
71,1963-06-12,66
71,1963-06-12,43
71,1963-06-12,96
71,1963-06-12,19
72,1963-06-15,32
72,1963-06-15,55
72,1963-06-15,38
72,1963-06-15,3
72,1963-06-15,0
73,1963-06-19,24
73,1963-06-19,4
