Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
72,1963-06-15,Sábado,D 4º,55,72
75,1963-06-26,Quarta-feira,D 1º,55,3
117,1963-11-27,Quarta-feira,D 4º,55,42
140,1964-02-26,Quarta-feira,D 1º,55,23
153,1964-04-15,Quarta-feira,D 1º,55,13
161,1964-05-13,Quarta-feira,D 1º,55,8
197,1964-09-19,Sábado,D 1º,55,36
231,1965-01-23,Sábado,D 3º,55,34
247,1965-03-24,Quarta-feira,D 5º,55,16
249,1965-03-31,Quarta-feira,D 4º,55,2
269,1965-06-16,Quarta-feira,D 1º,55,20
273,1965-06-30,Quarta-feira,D 5º,55,4
292,1965-09-04,Sábado,D 2º,55,19
299,1965-09-29,Quarta-feira,D 4º,55,7
308,1965-10-30,Sábado,D 3º,55,9
316,1965-11-27,Sábado,D 4º,55,8
347,1966-03-26,Sábado,D 3º,55,31
358,1966-05-04,Quarta-feira,D 3º,55,11
397,1966-09-21,Quarta-feira,D 2º,55,39
412,1966-11-16,Quarta-feira,D 5º,55,15
417,1966-12-03,Sábado,D 1º,55,5
441,1967-03-01,Quarta-feira,D 3º,55,24
449,1967-03-29,Quarta-feira,D 3º,55,8
468,1967-06-03,Sábado,D 5º,55,19
469,1967-06-07,Quarta-feira,D 2º,55,1
489,1967-08-16,Quarta-feira,D 2º,55,20
499,1967-09-20,Quarta-feira,D 4º,55,10
507,1967-10-18,Quarta-feira,D 4º,55,8
524,1967-12-20,Quarta-feira,D 1º,55,17
528,1968-01-03,Quarta-feira,D 2º,55,4
622,1968-12-11,Quarta-feira,D 5º,55,94
636,1969-02-05,Quarta-feira,D 1º,55,14
661,1969-05-10,Sábado,D 1º,55,25
690,1969-08-20,Quarta-feira,D 1º,55,29
698,1969-09-17,Quarta-feira,D 2º,55,8
717,1969-11-26,Quarta-feira,D 2º,55,19
740,1970-02-25,Quarta-feira,D 5º,55,23
758,1970-05-02,Sábado,D 4º,55,18
769,1970-06-10,Quarta-feira,D 2º,55,11
772,1970-06-20,Sábado,D 3º,55,3
780,1970-07-18,Sábado,D 2º,55,8
786,1970-08-08,Sábado,D 3º,55,6
790,1970-08-22,Sábado,D 1º,55,4
814,1970-11-14,Sábado,D 1º,55,24
839,1971-02-20,Sábado,D 1º,55,25
839,1971-02-20,Sábado,D 5º,55,0
881,1971-08-04,Quarta-feira,D 2º,55,42
892,1971-09-15,Quarta-feira,D 2º,55,11
894,1971-09-22,Quarta-feira,D 3º,55,2
907,1971-11-10,Quarta-feira,D 5º,55,13
937,1972-03-25,Sábado,D 3º,55,30
949,1972-05-17,Quarta-feira,D 2º,55,12
949,1972-05-17,Quarta-feira,D 4º,55,0
960,1972-07-01,Sábado,D 5º,55,11
970,1972-08-19,Sábado,D 1º,55,10
985,1972-10-25,Quarta-feira,D 4º,55,15
992,1972-11-25,Sábado,D 4º,55,7
994,1972-12-02,Sábado,D 1º,55,2
1006,1973-01-27,Sábado,D 3º,55,12
1039,1973-06-09,Sábado,D 1º,55,33
1072,1973-10-06,Sábado,D 4º,55,33
1096,1974-01-05,Sábado,D 4º,55,24
1105,1974-02-06,Quarta-feira,D 3º,55,9
1135,1974-05-29,Quarta-feira,D 5º,55,30
1156,1974-08-14,Quarta-feira,D 2º,55,21
1159,1974-08-24,Sábado,D 1º,55,3
1162,1974-09-04,Quarta-feira,D 1º,55,3
1180,1974-11-13,Quarta-feira,D 1º,55,18
1180,1974-11-13,Quarta-feira,D 5º,55,0
1215,1975-03-26,Quarta-feira,D 3º,55,35
1230,1975-05-24,Sábado,D 2º,55,15
1234,1975-06-07,Sábado,D 3º,55,4
1235,1975-06-11,Quarta-feira,D 5º,55,1
1237,1975-06-18,Quarta-feira,D 3º,55,2
1243,1975-07-09,Quarta-feira,D 5º,55,6
1262,1975-09-17,Quarta-feira,D 3º,55,19
1273,1975-10-25,Sábado,D 4º,55,11
1276,1975-11-05,Quarta-feira,D 4º,55,3
1307,1976-03-13,Sábado,D 4º,55,31
1342,1976-07-24,Sábado,D 3º,55,35
1349,1976-08-21,Sábado,D 3º,55,7
1357,1976-09-18,Sábado,D 3º,55,8
1367,1976-10-27,Quarta-feira,D 3º,55,10
1376,1976-12-01,Quarta-feira,D 1º,55,9
1382,1976-12-22,Quarta-feira,D 1º,55,6
1383,1976-12-29,Quarta-feira,D 1º,55,1
1389,1977-01-26,Quarta-feira,D 4º,55,6
1395,1977-02-16,Quarta-feira,D 3º,55,6
1423,1977-06-04,Sábado,D 1º,55,28
1532,1978-07-29,Sábado,D 5º,55,109
1537,1978-08-19,Sábado,D 5º,55,5
1561,1978-11-22,Quarta-feira,D 3º,55,24
1576,1979-01-17,Quarta-feira,D 2º,55,15
1637,1979-09-15,Sábado,D 4º,55,61
1659,1979-12-12,Quarta-feira,D 2º,55,22
1732,1980-09-24,Quarta-feira,D 1º,55,73
1795,1981-06-06,Sábado,D 3º,55,63
1827,1981-09-30,Quarta-feira,D 2º,55,32
1834,1981-10-28,Quarta-feira,D 2º,55,7
1886,1982-05-29,Sábado,D 2º,55,52
1889,1982-06-09,Quarta-feira,D 5º,55,3
1899,1982-07-14,Quarta-feira,D 5º,55,10
1909,1982-08-21,Sábado,D 2º,55,10
1952,1983-02-09,Quarta-feira,D 4º,55,43
1973,1983-05-04,Quarta-feira,D 1º,55,21
1979,1983-05-25,Quarta-feira,D 2º,55,6
2014,1983-10-01,Sábado,D 5º,55,35
2053,1984-03-10,Sábado,D 5º,55,39
2055,1984-03-17,Sábado,D 5º,55,2
2105,1984-10-03,Quarta-feira,D 2º,55,50
2125,1985-01-05,Sábado,D 3º,55,20
2157,1985-05-08,Quarta-feira,D 2º,55,32
2165,1985-06-05,Quarta-feira,D 3º,55,8
2190,1985-09-04,Quarta-feira,D 1º,55,25
2191,1985-09-11,Quarta-feira,D 5º,55,1
2217,1985-12-18,Quarta-feira,D 4º,55,26
2248,1986-04-19,Sábado,D 5º,55,31
2253,1986-05-14,Quarta-feira,D 3º,55,5
2269,1986-07-12,Sábado,D 2º,55,16
2273,1986-07-26,Sábado,D 4º,55,4
2289,1986-10-01,Quarta-feira,D 2º,55,16
2296,1986-10-29,Quarta-feira,D 4º,55,7
2297,1986-11-01,Sábado,D 4º,55,1
2299,1986-11-12,Quarta-feira,D 5º,55,2
2311,1987-01-07,Quarta-feira,D 2º,55,12
2323,1987-02-18,Quarta-feira,D 4º,55,12
2339,1987-04-22,Quarta-feira,D 2º,55,16
2344,1987-05-09,Sábado,D 4º,55,5
2348,1987-05-23,Sábado,D 4º,55,4
2364,1987-07-18,Sábado,D 2º,55,16
2396,1987-11-22,Domingo,D 5º,55,32
2458,1988-07-23,Sábado,D 2º,55,62
2515,1989-03-08,Quarta-feira,D 4º,55,57
2527,1989-04-26,Quarta-feira,D 4º,55,12
2554,1989-08-12,Sábado,D 1º,55,27
2581,1989-12-02,Sábado,D 5º,55,27
2586,1989-12-23,Sábado,D 4º,55,5
2589,1990-01-13,Sábado,D 1º,55,3
2593,1990-02-07,Quarta-feira,D 3º,55,4
2606,1990-03-31,Sábado,D 2º,55,13
2607,1990-04-04,Quarta-feira,D 5º,55,1
2610,1990-04-25,Quarta-feira,D 3º,55,3
2617,1990-05-23,Quarta-feira,D 3º,55,7
2622,1990-06-09,Sábado,D 4º,55,5
2660,1990-11-17,Sábado,D 5º,55,38
2753,1991-11-23,Sábado,D 5º,55,93
2817,1992-09-26,Sábado,D 4º,55,64
2821,1992-10-24,Sábado,D 2º,55,4
2901,1994-02-26,Sábado,D 2º,55,80
2938,1994-07-23,Sábado,D 1º,55,37
2959,1994-10-15,Sábado,D 5º,55,21
3055,1995-11-29,Quarta-feira,D 1º,55,96
3075,1996-02-24,Sábado,D 5º,55,20
3113,1996-07-31,Quarta-feira,D 3º,55,38
3126,1996-09-21,Sábado,D 4º,55,13
3223,1997-10-29,Quarta-feira,D 5º,55,97
3230,1997-11-26,Quarta-feira,D 3º,55,7
3233,1997-12-06,Sábado,D 1º,55,3
3234,1997-12-10,Quarta-feira,D 4º,55,1
3244,1998-01-24,Sábado,D 2º,55,10
3251,1998-02-18,Quarta-feira,D 4º,55,7
3260,1998-03-25,Quarta-feira,D 1º,55,9
3277,1998-06-06,Sábado,D 1º,55,17
3287,1998-07-18,Sábado,D 3º,55,10
3303,1998-09-19,Sábado,D 4º,55,16
3327,1998-12-23,Quarta-feira,D 4º,55,24
3351,1999-03-27,Sábado,D 4º,55,24
3377,1999-07-10,Sábado,D 4º,55,26
3378,1999-07-14,Quarta-feira,D 1º,55,1
3385,1999-08-07,Sábado,D 1º,55,7
3402,1999-10-09,Sábado,D 1º,55,17
3413,1999-11-27,Sábado,D 3º,55,11
3458,2000-05-24,Quarta-feira,D 4º,55,45
3493,2000-10-04,Quarta-feira,D 4º,55,35
3528,2001-02-24,Sábado,D 2º,55,35
3539,2001-04-07,Sábado,D 3º,55,11
3575,2001-08-29,Quarta-feira,D 5º,55,36
3588,2001-10-20,Sábado,D 5º,55,13
3609,2002-01-19,Sábado,D 4º,55,21
3624,2002-03-16,Sábado,D 5º,55,15
3646,2002-06-12,Quarta-feira,D 4º,55,22
3713,2003-02-26,Quarta-feira,D 5º,55,67
3750,2003-07-12,Sábado,D 4º,55,37
3789,2003-11-29,Sábado,D 3º,55,39
3810,2004-02-18,Quarta-feira,D 3º,55,21
3849,2004-07-14,Quarta-feira,D 2º,55,39
3853,2004-07-28,Quarta-feira,D 4º,55,4
3879,2004-10-27,Quarta-feira,D 1º,55,26
3926,2005-04-16,Sábado,D 5º,55,47
3947,2005-06-29,Quarta-feira,D 3º,55,21
3979,2005-10-26,Quarta-feira,D 3º,55,32
4010,2006-02-15,Quarta-feira,D 4º,55,31
4014,2006-03-02,Quinta-feira,D 3º,55,4
4015,2006-03-04,Sábado,D 3º,55,1
4030,2006-04-26,Quarta-feira,D 4º,55,15
4079,2006-10-14,Sábado,D 1º,55,49
4082,2006-10-25,Quarta-feira,D 3º,55,3
4093,2006-12-06,Quarta-feira,D 3º,55,11
