Concurso,Data,Dia da Semana,Sorteio,Dezena 0,Atraso
5854,2024-04-03,Quarta-feira,D 1º,0,5854
5829,2024-01-03,Quarta-feira,D 2º,0,-25
5826,2023-12-16,Sábado,D 4º,0,-3
5789,2023-08-09,Quarta-feira,D 5º,0,-37
5760,2023-04-29,Sábado,D 2º,0,-29
5757,2023-04-19,Quarta-feira,D 5º,0,-3
5723,2022-12-10,Sábado,D 1º,0,-34
5674,2022-06-22,Quarta-feira,D 2º,0,-49
5663,2022-05-14,Sábado,D 1º,0,-11
5641,2022-02-23,Quarta-feira,D 2º,0,-22
5636,2022-02-05,Sábado,D 3º,0,-5
5632,2022-01-22,Sábado,D 5º,0,-4
5622,2021-12-15,Quarta-feira,D 3º,0,-10
5598,2021-09-18,Sábado,D 2º,0,-24
5589,2021-08-18,Quarta-feira,D 5º,0,-9
5560,2021-05-08,Sábado,D 3º,0,-29
5559,2021-05-05,Quarta-feira,D 3º,0,-1
5555,2021-04-14,Quarta-feira,D 3º,0,-4
5535,2021-02-03,Quarta-feira,D 3º,0,-20
5518,2020-11-28,Sábado,D 3º,0,-17
5456,2020-01-04,Sábado,D 2º,0,-62
5441,2019-11-16,Sábado,D 3º,0,-15
5439,2019-11-09,Sábado,D 4º,0,-2
5416,2019-08-21,Quarta-feira,D 2º,0,-23
5390,2019-05-22,Quarta-feira,D 4º,0,-26
5332,2018-10-31,Quarta-feira,D 1º,0,-58
5328,2018-10-17,Quarta-feira,D 1º,0,-4
5313,2018-08-25,Sábado,D 4º,0,-15
5260,2018-02-21,Quarta-feira,D 1º,0,-53
5234,2017-11-22,Quarta-feira,D 1º,0,-26
5218,2017-09-27,Quarta-feira,D 3º,0,-16
5208,2017-08-23,Quarta-feira,D 1º,0,-10
5195,2017-07-08,Sábado,D 3º,0,-13
5191,2017-06-24,Sábado,D 3º,0,-4
5152,2017-02-08,Quarta-feira,D 4º,0,-39
5134,2016-12-07,Quarta-feira,D 2º,0,-18
5126,2016-11-09,Quarta-feira,D 2º,0,-8
5124,2016-11-01,Terça-feira,D 2º,0,-2
5115,2016-10-01,Sábado,D 3º,0,-9
