Concurso,Data,MC 5/1
1,1962-09-15,14
1,1962-09-15,51
1,1962-09-15,64
1,1962-09-15,80
1,1962-09-15,53
2,1962-09-22,84
2,1962-09-22,64
2,1962-09-22,9
2,1962-09-22,47
2,1962-09-22,33
3,1962-09-29,57
3,1962-09-29,41
3,1962-09-29,15
3,1962-09-29,56
3,1962-09-29,77
4,1962-10-03,35
4,1962-10-03,19
4,1962-10-03,84
4,1962-10-03,73
4,1962-10-03,8
5,1962-10-06,37
5,1962-10-06,40
5,1962-10-06,36
5,1962-10-06,32
5,1962-10-06,39
6,1962-10-10,25
6,1962-10-10,42
6,1962-10-10,36
6,1962-10-10,52
6,1962-10-10,9
7,1962-10-13,8
7,1962-10-13,71
7,1962-10-13,14
7,1962-10-13,6
7,1962-10-13,13
8,1962-10-17,31
8,1962-10-17,62
8,1962-10-17,53
8,1962-10-17,13
8,1962-10-17,10
9,1962-10-20,72
9,1962-10-20,84
9,1962-10-20,22
9,1962-10-20,3
9,1962-10-20,57
10,1962-10-24,79
10,1962-10-24,13
10,1962-10-24,27
10,1962-10-24,77
10,1962-10-24,3
11,1962-10-27,6
11,1962-10-27,70
11,1962-10-27,46
11,1962-10-27,60
11,1962-10-27,32
12,1962-10-31,9
12,1962-10-31,64
12,1962-10-31,44
12,1962-10-31,88
12,1962-10-31,70
13,1962-11-07,58
13,1962-11-07,19
13,1962-11-07,91
13,1962-11-07,31
13,1962-11-07,52
14,1962-11-10,88
14,1962-11-10,34
14,1962-11-10,47
14,1962-11-10,52
14,1962-11-10,39
15,1962-11-14,92
15,1962-11-14,95
15,1962-11-14,19
15,1962-11-14,50
15,1962-11-14,8
16,1962-11-17,91
16,1962-11-17,97
16,1962-11-17,60
16,1962-11-17,57
16,1962-11-17,65
17,1962-11-21,50
17,1962-11-21,13
17,1962-11-21,14
17,1962-11-21,21
17,1962-11-21,59
18,1962-11-24,53
18,1962-11-24,77
18,1962-11-24,61
18,1962-11-24,78
18,1962-11-24,77
19,1962-11-28,35
19,1962-11-28,66
19,1962-11-28,37
19,1962-11-28,35
19,1962-11-28,4
20,1962-12-01,65
20,1962-12-01,13
20,1962-12-01,23
20,1962-12-01,62
20,1962-12-01,44
21,1962-12-05,72
21,1962-12-05,4
21,1962-12-05,74
21,1962-12-05,17
21,1962-12-05,98
22,1962-12-12,26
22,1962-12-12,48
22,1962-12-12,31
22,1962-12-12,2
22,1962-12-12,66
23,1962-12-15,94
23,1962-12-15,95
23,1962-12-15,75
23,1962-12-15,51
23,1962-12-15,1
24,1962-12-19,43
24,1962-12-19,5
24,1962-12-19,16
24,1962-12-19,33
24,1962-12-19,94
25,1962-12-22,13
25,1962-12-22,30
25,1962-12-22,85
25,1962-12-22,20
25,1962-12-22,34
26,1962-12-26,84
26,1962-12-26,37
26,1962-12-26,19
26,1962-12-26,18
26,1962-12-26,18
27,1962-12-29,57
27,1962-12-29,76
27,1962-12-29,70
27,1962-12-29,78
27,1962-12-29,61
28,1963-01-02,65
28,1963-01-02,23
28,1963-01-02,54
28,1963-01-02,56
28,1963-01-02,90
29,1963-01-05,12
29,1963-01-05,20
29,1963-01-05,35
29,1963-01-05,26
29,1963-01-05,65
30,1963-01-09,94
30,1963-01-09,5
30,1963-01-09,30
30,1963-01-09,33
30,1963-01-09,57
31,1963-01-12,57
31,1963-01-12,25
31,1963-01-12,95
31,1963-01-12,94
31,1963-01-12,68
32,1963-01-16,62
32,1963-01-16,12
32,1963-01-16,24
32,1963-01-16,95
32,1963-01-16,6
33,1963-01-19,17
33,1963-01-19,94
33,1963-01-19,23
33,1963-01-19,24
33,1963-01-19,23
34,1963-01-23,23
34,1963-01-23,9
34,1963-01-23,44
34,1963-01-23,25
34,1963-01-23,89
35,1963-01-26,3
35,1963-01-26,38
35,1963-01-26,25
35,1963-01-26,16
35,1963-01-26,94
36,1963-01-30,40
36,1963-01-30,74
36,1963-01-30,89
36,1963-01-30,9
36,1963-01-30,86
37,1963-02-02,22
37,1963-02-02,27
37,1963-02-02,89
37,1963-02-02,29
37,1963-02-02,5
38,1963-02-06,92
38,1963-02-06,31
38,1963-02-06,35
38,1963-02-06,23
38,1963-02-06,88
39,1963-02-09,40
39,1963-02-09,23
39,1963-02-09,96
39,1963-02-09,73
39,1963-02-09,42
40,1963-02-13,75
40,1963-02-13,35
40,1963-02-13,56
40,1963-02-13,10
40,1963-02-13,20
41,1963-02-16,21
41,1963-02-16,11
41,1963-02-16,29
41,1963-02-16,22
41,1963-02-16,39
42,1963-02-20,29
42,1963-02-20,41
42,1963-02-20,53
42,1963-02-20,86
42,1963-02-20,84
43,1963-02-23,11
43,1963-02-23,2
43,1963-02-23,5
43,1963-02-23,41
43,1963-02-23,23
44,1963-03-02,83
44,1963-03-02,30
44,1963-03-02,91
44,1963-03-02,44
44,1963-03-02,69
45,1963-03-06,96
45,1963-03-06,33
45,1963-03-06,89
45,1963-03-06,55
45,1963-03-06,40
46,1963-03-09,5
46,1963-03-09,98
46,1963-03-09,3
46,1963-03-09,57
46,1963-03-09,43
47,1963-03-13,0
47,1963-03-13,61
47,1963-03-13,99
47,1963-03-13,3
47,1963-03-13,76
48,1963-03-16,16
48,1963-03-16,71
48,1963-03-16,66
48,1963-03-16,12
48,1963-03-16,49
49,1963-03-20,6
49,1963-03-20,55
49,1963-03-20,46
49,1963-03-20,92
49,1963-03-20,34
50,1963-03-23,90
50,1963-03-23,15
50,1963-03-23,61
50,1963-03-23,4
50,1963-03-23,43
51,1963-03-27,59
51,1963-03-27,86
51,1963-03-27,99
51,1963-03-27,24
51,1963-03-27,56
52,1963-03-30,2
52,1963-03-30,70
52,1963-03-30,67
52,1963-03-30,41
52,1963-03-30,66
53,1963-04-03,83
53,1963-04-03,68
53,1963-04-03,35
53,1963-04-03,98
53,1963-04-03,22
54,1963-04-06,76
54,1963-04-06,95
54,1963-04-06,69
54,1963-04-06,77
54,1963-04-06,52
55,1963-04-10,73
55,1963-04-10,49
55,1963-04-10,27
55,1963-04-10,53
55,1963-04-10,10
56,1963-04-17,97
56,1963-04-17,7
56,1963-04-17,95
56,1963-04-17,87
56,1963-04-17,24
57,1963-04-20,45
57,1963-04-20,42
57,1963-04-20,93
57,1963-04-20,62
57,1963-04-20,84
58,1963-04-24,4
58,1963-04-24,7
58,1963-04-24,89
58,1963-04-24,96
58,1963-04-24,0
59,1963-04-27,83
59,1963-04-27,46
59,1963-04-27,1
59,1963-04-27,0
59,1963-04-27,53
60,1963-05-04,88
60,1963-05-04,50
60,1963-05-04,34
60,1963-05-04,24
60,1963-05-04,4
61,1963-05-08,13
61,1963-05-08,3
61,1963-05-08,73
61,1963-05-08,12
61,1963-05-08,31
62,1963-05-11,23
62,1963-05-11,94
62,1963-05-11,3
62,1963-05-11,58
62,1963-05-11,99
63,1963-05-15,24
63,1963-05-15,19
63,1963-05-15,6
63,1963-05-15,86
63,1963-05-15,50
64,1963-05-18,65
64,1963-05-18,20
64,1963-05-18,98
64,1963-05-18,42
64,1963-05-18,30
65,1963-05-22,7
65,1963-05-22,59
65,1963-05-22,55
65,1963-05-22,72
65,1963-05-22,54
66,1963-05-25,18
66,1963-05-25,60
66,1963-05-25,14
66,1963-05-25,92
66,1963-05-25,94
67,1963-05-29,42
67,1963-05-29,93
67,1963-05-29,75
67,1963-05-29,91
67,1963-05-29,28
68,1963-06-01,46
68,1963-06-01,7
68,1963-06-01,87
68,1963-06-01,67
68,1963-06-01,5
69,1963-06-05,94
69,1963-06-05,28
69,1963-06-05,99
69,1963-06-05,89
69,1963-06-05,8
70,1963-06-08,15
70,1963-06-08,98
70,1963-06-08,22
70,1963-06-08,23
70,1963-06-08,14
71,1963-06-12,9
71,1963-06-12,59
71,1963-06-12,25
71,1963-06-12,37
71,1963-06-12,12
72,1963-06-15,98
72,1963-06-15,88
72,1963-06-15,10
72,1963-06-15,10
72,1963-06-15,68
73,1963-06-19,96
73,1963-06-19,84
73,1963-06-19,38
73,1963-06-19,82
73,1963-06-19,56
74,1963-06-22,70
74,1963-06-22,27
74,1963-06-22,52
74,1963-06-22,4
74,1963-06-22,28
75,1963-06-26,63
75,1963-06-26,89
75,1963-06-26,14
75,1963-06-26,60
75,1963-06-26,78
76,1963-06-29,1
76,1963-06-29,72
76,1963-06-29,72
76,1963-06-29,55
76,1963-06-29,97
77,1963-07-03,20
77,1963-07-03,15
77,1963-07-03,26
77,1963-07-03,60
77,1963-07-03,30
78,1963-07-06,26
78,1963-07-06,97
78,1963-07-06,13
78,1963-07-06,10
78,1963-07-06,20
79,1963-07-10,47
79,1963-07-10,82
79,1963-07-10,90
79,1963-07-10,92
79,1963-07-10,2
80,1963-07-13,73
80,1963-07-13,89
80,1963-07-13,28
80,1963-07-13,50
80,1963-07-13,30
81,1963-07-17,67
81,1963-07-17,0
81,1963-07-17,54
81,1963-07-17,94
81,1963-07-17,40
82,1963-07-20,86
82,1963-07-20,30
82,1963-07-20,11
82,1963-07-20,11
82,1963-07-20,77
83,1963-07-24,45
83,1963-07-24,83
83,1963-07-24,65
83,1963-07-24,28
83,1963-07-24,31
84,1963-07-27,60
84,1963-07-27,42
84,1963-07-27,49
84,1963-07-27,95
84,1963-07-27,12
85,1963-07-31,83
85,1963-07-31,10
85,1963-07-31,87
85,1963-07-31,87
85,1963-07-31,29
86,1963-08-03,96
86,1963-08-03,43
86,1963-08-03,49
86,1963-08-03,77
86,1963-08-03,1
87,1963-08-07,20
87,1963-08-07,6
87,1963-08-07,49
87,1963-08-07,38
87,1963-08-07,57
88,1963-08-10,54
88,1963-08-10,97
88,1963-08-10,34
88,1963-08-10,51
88,1963-08-10,34
89,1963-08-14,53
89,1963-08-14,73
89,1963-08-14,53
89,1963-08-14,87
89,1963-08-14,7
90,1963-08-17,97
90,1963-08-17,7
90,1963-08-17,83
90,1963-08-17,32
90,1963-08-17,32
91,1963-08-21,74
91,1963-08-21,60
91,1963-08-21,42
91,1963-08-21,7
91,1963-08-21,85
92,1963-08-24,46
92,1963-08-24,23
92,1963-08-24,79
92,1963-08-24,79
92,1963-08-24,1
93,1963-08-28,95
93,1963-08-28,34
93,1963-08-28,25
93,1963-08-28,53
93,1963-08-28,31
94,1963-08-31,38
94,1963-08-31,14
94,1963-08-31,63
94,1963-08-31,57
94,1963-08-31,18
95,1963-09-04,58
95,1963-09-04,68
95,1963-09-04,3
95,1963-09-04,23
95,1963-09-04,70
96,1963-09-11,93
96,1963-09-11,38
96,1963-09-11,36
96,1963-09-11,49
96,1963-09-11,43
97,1963-09-14,47
97,1963-09-14,70
97,1963-09-14,19
97,1963-09-14,76
97,1963-09-14,49
98,1963-09-18,64
98,1963-09-18,80
98,1963-09-18,58
98,1963-09-18,97
98,1963-09-18,38
99,1963-09-21,63
99,1963-09-21,80
99,1963-09-21,94
99,1963-09-21,94
99,1963-09-21,96
100,1963-09-25,73
100,1963-09-25,76
100,1963-09-25,92
100,1963-09-25,4
100,1963-09-25,63
101,1963-09-28,53
101,1963-09-28,76
101,1963-09-28,0
101,1963-09-28,18
101,1963-09-28,19
102,1963-10-02,12
102,1963-10-02,66
102,1963-10-02,10
102,1963-10-02,63
102,1963-10-02,62
103,1963-10-05,45
103,1963-10-05,41
103,1963-10-05,71
103,1963-10-05,79
103,1963-10-05,81
104,1963-10-09,47
104,1963-10-09,36
104,1963-10-09,51
104,1963-10-09,74
104,1963-10-09,51
105,1963-10-12,71
105,1963-10-12,76
105,1963-10-12,51
105,1963-10-12,86
105,1963-10-12,30
106,1963-10-16,81
106,1963-10-16,29
106,1963-10-16,50
106,1963-10-16,67
106,1963-10-16,63
107,1963-10-19,49
107,1963-10-19,47
107,1963-10-19,91
107,1963-10-19,27
107,1963-10-19,19
108,1963-10-23,80
108,1963-10-23,67
108,1963-10-23,86
108,1963-10-23,50
108,1963-10-23,67
109,1963-10-26,34
109,1963-10-26,2
109,1963-10-26,29
109,1963-10-26,49
109,1963-10-26,72
110,1963-10-30,62
110,1963-10-30,54
110,1963-10-30,48
110,1963-10-30,3
110,1963-10-30,62
111,1963-11-06,74
111,1963-11-06,72
111,1963-11-06,36
111,1963-11-06,87
111,1963-11-06,88
112,1963-11-09,81
112,1963-11-09,95
112,1963-11-09,43
112,1963-11-09,64
112,1963-11-09,5
113,1963-11-13,8
113,1963-11-13,67
113,1963-11-13,79
113,1963-11-13,74
113,1963-11-13,7
114,1963-11-16,99
114,1963-11-16,88
114,1963-11-16,13
114,1963-11-16,59
114,1963-11-16,68
115,1963-11-20,45
115,1963-11-20,57
115,1963-11-20,63
115,1963-11-20,57
115,1963-11-20,7
116,1963-11-23,81
116,1963-11-23,85
116,1963-11-23,11
116,1963-11-23,23
116,1963-11-23,9
117,1963-11-27,57
117,1963-11-27,89
117,1963-11-27,30
117,1963-11-27,76
117,1963-11-27,33
118,1963-11-30,54
118,1963-11-30,71
118,1963-11-30,18
118,1963-11-30,26
118,1963-11-30,89
119,1963-12-04,85
119,1963-12-04,78
119,1963-12-04,77
119,1963-12-04,56
119,1963-12-04,11
120,1963-12-07,48
120,1963-12-07,26
120,1963-12-07,83
120,1963-12-07,16
120,1963-12-07,34
121,1963-12-11,23
121,1963-12-11,88
121,1963-12-11,45
121,1963-12-11,79
121,1963-12-11,92
122,1963-12-14,97
122,1963-12-14,81
122,1963-12-14,9
122,1963-12-14,14
122,1963-12-14,30
123,1963-12-18,98
123,1963-12-18,40
123,1963-12-18,88
123,1963-12-18,5
123,1963-12-18,15
124,1963-12-21,15
124,1963-12-21,17
124,1963-12-21,33
124,1963-12-21,0
124,1963-12-21,89
125,1963-12-28,66
125,1963-12-28,91
125,1963-12-28,35
125,1963-12-28,97
125,1963-12-28,93
126,1964-01-04,89
126,1964-01-04,93
126,1964-01-04,87
126,1964-01-04,71
126,1964-01-04,89
127,1964-01-08,37
127,1964-01-08,13
127,1964-01-08,16
127,1964-01-08,77
127,1964-01-08,2
128,1964-01-11,64
128,1964-01-11,41
128,1964-01-11,96
128,1964-01-11,9
128,1964-01-11,88
129,1964-01-15,55
129,1964-01-15,57
129,1964-01-15,68
129,1964-01-15,27
129,1964-01-15,27
130,1964-01-18,6
130,1964-01-18,17
130,1964-01-18,26
130,1964-01-18,33
130,1964-01-18,22
131,1964-01-22,30
131,1964-01-22,74
131,1964-01-22,5
131,1964-01-22,34
131,1964-01-22,37
132,1964-01-25,43
132,1964-01-25,38
132,1964-01-25,41
132,1964-01-25,16
132,1964-01-25,70
