Concurso,Data,Dia da Semana,Sorteio,Dezena,Atraso
16,1962-11-17,Sábado,MC 4º,97,16
56,1963-04-17,Quarta-feira,MC 5º,97,40
76,1963-06-29,Sábado,MC 1º,97,20
78,1963-07-06,Sábado,MC 4º,97,2
88,1963-08-10,Sábado,MC 4º,97,10
90,1963-08-17,Sábado,MC 5º,97,2
98,1963-09-18,Quarta-feira,MC 2º,97,8
122,1963-12-14,Sábado,MC 5º,97,24
125,1963-12-28,Sábado,MC 2º,97,3
160,1964-05-09,Sábado,MC 1º,97,35
168,1964-06-06,Sábado,MC 4º,97,8
202,1964-10-07,Quarta-feira,MC 1º,97,34
230,1965-01-16,Sábado,MC 3º,97,28
252,1965-04-10,Sábado,MC 4º,97,22
283,1965-08-04,Quarta-feira,MC 4º,97,31
373,1966-06-25,Sábado,MC 3º,97,90
386,1966-08-10,Quarta-feira,MC 4º,97,13
428,1967-01-11,Quarta-feira,MC 5º,97,42
455,1967-04-19,Quarta-feira,MC 5º,97,27
463,1967-05-17,Quarta-feira,MC 5º,97,8
476,1967-07-01,Sábado,MC 5º,97,13
519,1967-12-02,Sábado,MC 2º,97,43
531,1968-01-13,Sábado,MC 2º,97,12
553,1968-04-03,Quarta-feira,MC 4º,97,22
617,1968-11-23,Sábado,MC 1º,97,64
623,1968-12-14,Sábado,MC 3º,97,6
705,1969-10-11,Sábado,MC 4º,97,82
708,1969-10-22,Quarta-feira,MC 4º,97,3
723,1969-12-17,Quarta-feira,MC 4º,97,15
792,1970-08-29,Sábado,MC 4º,97,69
828,1971-01-09,Sábado,MC 2º,97,36
848,1971-03-27,Sábado,MC 1º,97,20
867,1971-06-12,Sábado,MC 3º,97,19
870,1971-06-23,Quarta-feira,MC 2º,97,3
892,1971-09-15,Quarta-feira,MC 2º,97,22
902,1971-10-20,Quarta-feira,MC 1º,97,10
911,1971-11-27,Sábado,MC 3º,97,9
918,1971-12-29,Quarta-feira,MC 4º,97,7
928,1972-02-19,Sábado,MC 3º,97,10
928,1972-02-19,Sábado,MC 4º,97,0
940,1972-04-08,Sábado,MC 2º,97,12
991,1972-11-22,Quarta-feira,MC 5º,97,51
1028,1973-05-02,Quarta-feira,MC 4º,97,37
1036,1973-05-30,Quarta-feira,MC 5º,97,8
1041,1973-06-16,Sábado,MC 4º,97,5
1049,1973-07-14,Sábado,MC 5º,97,8
1052,1973-07-25,Quarta-feira,MC 5º,97,3
1060,1973-08-25,Sábado,MC 5º,97,8
1069,1973-09-26,Quarta-feira,MC 2º,97,9
1078,1973-10-27,Sábado,MC 3º,97,9
1092,1973-12-15,Sábado,MC 5º,97,14
1103,1974-01-30,Quarta-feira,MC 4º,97,11
1115,1974-03-16,Sábado,MC 5º,97,12
1153,1974-07-31,Quarta-feira,MC 5º,97,38
1165,1974-09-18,Quarta-feira,MC 4º,97,12
1169,1974-10-02,Quarta-feira,MC 2º,97,4
1256,1975-08-27,Quarta-feira,MC 2º,97,87
1267,1975-10-04,Sábado,MC 3º,97,11
1276,1975-11-05,Quarta-feira,MC 3º,97,9
1278,1975-11-19,Quarta-feira,MC 1º,97,2
1280,1975-11-26,Quarta-feira,MC 1º,97,2
1283,1975-12-06,Sábado,MC 3º,97,3
1289,1975-12-31,Quarta-feira,MC 2º,97,6
1323,1976-05-19,Quarta-feira,MC 3º,97,34
1324,1976-05-22,Sábado,MC 3º,97,1
1332,1976-06-19,Sábado,MC 4º,97,8
1332,1976-06-19,Sábado,MC 5º,97,0
1392,1977-02-05,Sábado,MC 5º,97,60
1398,1977-03-02,Quarta-feira,MC 5º,97,6
1405,1977-03-26,Sábado,MC 2º,97,7
1412,1977-04-23,Sábado,MC 3º,97,7
1417,1977-05-14,Sábado,MC 3º,97,5
1418,1977-05-18,Quarta-feira,MC 3º,97,1
1429,1977-06-25,Sábado,MC 2º,97,11
1443,1977-08-17,Quarta-feira,MC 5º,97,14
1444,1977-08-20,Sábado,MC 5º,97,1
1480,1978-01-11,Quarta-feira,MC 4º,97,36
1510,1978-05-13,Sábado,MC 4º,97,30
1519,1978-06-14,Quarta-feira,MC 5º,97,9
1531,1978-07-26,Quarta-feira,MC 1º,97,12
1536,1978-08-16,Quarta-feira,MC 1º,97,5
