Column,Value,Count,Percentage
MC 1º,0,75,1.2750765045902754
MC 1º,1,65,1.1050663039782387
MC 1º,2,71,1.2070724243454607
MC 1º,3,47,0.7990479428765727
MC 1º,4,65,1.1050663039782387
MC 1º,5,71,1.2070724243454607
MC 1º,6,48,0.8160489629377763
MC 1º,7,64,1.088065283917035
MC 1º,8,70,1.190071404284257
MC 1º,9,45,0.7650459027541652
MC 1º,10,50,0.8500510030601837
MC 1º,11,53,0.9010540632437947
MC 1º,12,51,0.8670520231213872
MC 1º,13,55,0.9350561033662019
MC 1º,14,57,0.9690581434886093
MC 1º,15,43,0.7310438626317579
MC 1º,16,59,1.0030601836110167
MC 1º,17,49,0.8330499829989799
MC 1º,18,75,1.2750765045902754
MC 1º,19,52,0.8840530431825909
MC 1º,20,67,1.1390683441006462
MC 1º,21,50,0.8500510030601837
MC 1º,22,55,0.9350561033662019
MC 1º,23,67,1.1390683441006462
MC 1º,24,63,1.0710642638558314
MC 1º,25,61,1.037062223733424
MC 1º,26,64,1.088065283917035
MC 1º,27,60,1.0200612036722203
MC 1º,28,56,0.9520571234274057
MC 1º,29,61,1.037062223733424
MC 1º,30,59,1.0030601836110167
MC 1º,31,57,0.9690581434886093
MC 1º,32,47,0.7990479428765727
MC 1º,33,61,1.037062223733424
MC 1º,34,70,1.190071404284257
MC 1º,35,50,0.8500510030601837
MC 1º,36,56,0.9520571234274057
MC 1º,37,65,1.1050663039782387
MC 1º,38,55,0.9350561033662019
MC 1º,39,64,1.088065283917035
MC 1º,40,70,1.190071404284257
MC 1º,41,64,1.088065283917035
MC 1º,42,70,1.190071404284257
MC 1º,43,65,1.1050663039782387
MC 1º,44,51,0.8670520231213872
MC 1º,45,46,0.7820469228153689
MC 1º,46,66,1.1220673240394423
MC 1º,47,52,0.8840530431825909
MC 1º,48,58,0.986059163549813
MC 1º,49,68,1.1560693641618496
MC 1º,50,53,0.9010540632437947
MC 1º,51,58,0.986059163549813
MC 1º,52,67,1.1390683441006462
MC 1º,53,64,1.088065283917035
MC 1º,54,61,1.037062223733424
MC 1º,55,61,1.037062223733424
MC 1º,56,66,1.1220673240394423
MC 1º,57,53,0.9010540632437947
MC 1º,58,62,1.0540632437946278
MC 1º,59,57,0.9690581434886093
MC 1º,60,58,0.986059163549813
MC 1º,61,54,0.9180550833049982
MC 1º,62,66,1.1220673240394423
MC 1º,63,52,0.8840530431825909
MC 1º,64,58,0.986059163549813
MC 1º,65,61,1.037062223733424
MC 1º,66,62,1.0540632437946278
MC 1º,67,71,1.2070724243454607
MC 1º,68,53,0.9010540632437947
MC 1º,69,56,0.9520571234274057
MC 1º,70,68,1.1560693641618496
MC 1º,71,46,0.7820469228153689
MC 1º,72,59,1.0030601836110167
MC 1º,73,53,0.9010540632437947
MC 1º,74,47,0.7990479428765727
MC 1º,75,48,0.8160489629377763
MC 1º,76,67,1.1390683441006462
MC 1º,77,52,0.8840530431825909
MC 1º,78,44,0.7480448826929615
MC 1º,79,68,1.1560693641618496
MC 1º,80,50,0.8500510030601837
MC 1º,81,51,0.8670520231213872
MC 1º,82,57,0.9690581434886093
MC 1º,83,53,0.9010540632437947
MC 1º,84,58,0.986059163549813
MC 1º,85,66,1.1220673240394423
MC 1º,86,71,1.2070724243454607
MC 1º,87,61,1.037062223733424
MC 1º,88,57,0.9690581434886093
MC 1º,89,50,0.8500510030601837
MC 1º,90,81,1.3770826249574974
MC 1º,91,59,1.0030601836110167
MC 1º,92,61,1.037062223733424
MC 1º,93,54,0.9180550833049982
MC 1º,94,69,1.1730703842230534
MC 1º,95,58,0.986059163549813
MC 1º,96,50,0.8500510030601837
MC 1º,97,50,0.8500510030601837
MC 1º,98,61,1.037062223733424
MC 1º,99,57,0.9690581434886093
MC 2º,0,99,1.6831009860591637
MC 2º,1,55,0.9350561033662019
MC 2º,2,47,0.7990479428765727
MC 2º,3,60,1.0200612036722203
MC 2º,4,63,1.0710642638558314
MC 2º,5,70,1.190071404284257
MC 2º,6,50,0.8500510030601837
MC 2º,7,49,0.8330499829989799
MC 2º,8,37,0.6290377422645359
MC 2º,9,67,1.1390683441006462
MC 2º,10,58,0.986059163549813
MC 2º,11,61,1.037062223733424
MC 2º,12,60,1.0200612036722203
MC 2º,13,65,1.1050663039782387
MC 2º,14,64,1.088065283917035
MC 2º,15,70,1.190071404284257
MC 2º,16,56,0.9520571234274057
MC 2º,17,60,1.0200612036722203
MC 2º,18,74,1.2580754845290718
MC 2º,19,55,0.9350561033662019
MC 2º,20,68,1.1560693641618496
MC 2º,21,62,1.0540632437946278
MC 2º,22,55,0.9350561033662019
MC 2º,23,67,1.1390683441006462
MC 2º,24,69,1.1730703842230534
MC 2º,25,72,1.2240734444066643
MC 2º,26,61,1.037062223733424
MC 2º,27,71,1.2070724243454607
MC 2º,28,66,1.1220673240394423
MC 2º,29,56,0.9520571234274057
MC 2º,30,61,1.037062223733424
MC 2º,31,62,1.0540632437946278
MC 2º,32,63,1.0710642638558314
MC 2º,33,43,0.7310438626317579
MC 2º,34,73,1.2410744644678682
MC 2º,35,54,0.9180550833049982
MC 2º,36,57,0.9690581434886093
MC 2º,37,76,1.292077524651479
MC 2º,38,54,0.9180550833049982
MC 2º,39,58,0.986059163549813
MC 2º,40,67,1.1390683441006462
MC 2º,41,58,0.986059163549813
MC 2º,42,62,1.0540632437946278
MC 2º,43,47,0.7990479428765727
MC 2º,44,60,1.0200612036722203
MC 2º,45,51,0.8670520231213872
MC 2º,46,62,1.0540632437946278
MC 2º,47,47,0.7990479428765727
MC 2º,48,42,0.7140428425705543
MC 2º,49,69,1.1730703842230534
MC 2º,50,57,0.9690581434886093
MC 2º,51,66,1.1220673240394423
MC 2º,52,65,1.1050663039782387
MC 2º,53,56,0.9520571234274057
MC 2º,54,50,0.8500510030601837
MC 2º,55,58,0.986059163549813
MC 2º,56,70,1.190071404284257
MC 2º,57,68,1.1560693641618496
MC 2º,58,51,0.8670520231213872
MC 2º,59,55,0.9350561033662019
MC 2º,60,75,1.2750765045902754
MC 2º,61,52,0.8840530431825909
MC 2º,62,70,1.190071404284257
MC 2º,63,51,0.8670520231213872
MC 2º,64,69,1.1730703842230534
MC 2º,65,60,1.0200612036722203
MC 2º,66,51,0.8670520231213872
MC 2º,67,66,1.1220673240394423
MC 2º,68,54,0.9180550833049982
MC 2º,69,67,1.1390683441006462
MC 2º,70,61,1.037062223733424
MC 2º,71,56,0.9520571234274057
MC 2º,72,52,0.8840530431825909
MC 2º,73,61,1.037062223733424
MC 2º,74,52,0.8840530431825909
MC 2º,75,41,0.6970418225093505
MC 2º,76,43,0.7310438626317579
MC 2º,77,59,1.0030601836110167
MC 2º,78,62,1.0540632437946278
MC 2º,79,55,0.9350561033662019
MC 2º,80,59,1.0030601836110167
MC 2º,81,43,0.7310438626317579
MC 2º,82,48,0.8160489629377763
MC 2º,83,61,1.037062223733424
MC 2º,84,50,0.8500510030601837
MC 2º,85,53,0.9010540632437947
MC 2º,86,59,1.0030601836110167
MC 2º,87,60,1.0200612036722203
MC 2º,88,41,0.6970418225093505
MC 2º,89,67,1.1390683441006462
MC 2º,90,49,0.8330499829989799
MC 2º,91,52,0.8840530431825909
MC 2º,92,61,1.037062223733424
MC 2º,93,58,0.986059163549813
MC 2º,94,61,1.037062223733424
MC 2º,95,80,1.3600816048962938
MC 2º,96,57,0.9690581434886093
MC 2º,97,52,0.8840530431825909
MC 2º,98,44,0.7480448826929615
MC 2º,99,41,0.6970418225093505
MC 3º,0,83,1.4110846650799047
MC 3º,1,56,0.9520571234274057
MC 3º,2,58,0.986059163549813
MC 3º,3,63,1.0710642638558314
MC 3º,4,59,1.0030601836110167
MC 3º,5,53,0.9010540632437947
MC 3º,6,62,1.0540632437946278
MC 3º,7,46,0.7820469228153689
MC 3º,8,70,1.190071404284257
MC 3º,9,47,0.7990479428765727
MC 3º,10,50,0.8500510030601837
MC 3º,11,48,0.8160489629377763
MC 3º,12,57,0.9690581434886093
MC 3º,13,53,0.9010540632437947
MC 3º,14,68,1.1560693641618496
MC 3º,15,60,1.0200612036722203
MC 3º,16,56,0.9520571234274057
MC 3º,17,60,1.0200612036722203
MC 3º,18,56,0.9520571234274057
MC 3º,19,65,1.1050663039782387
MC 3º,20,39,0.6630397823869433
MC 3º,21,58,0.986059163549813
MC 3º,22,62,1.0540632437946278
MC 3º,23,58,0.986059163549813
MC 3º,24,71,1.2070724243454607
MC 3º,25,67,1.1390683441006462
MC 3º,26,67,1.1390683441006462
MC 3º,27,77,1.3090785447126827
MC 3º,28,50,0.8500510030601837
MC 3º,29,74,1.2580754845290718
MC 3º,30,58,0.986059163549813
MC 3º,31,62,1.0540632437946278
MC 3º,32,59,1.0030601836110167
MC 3º,33,60,1.0200612036722203
MC 3º,34,63,1.0710642638558314
MC 3º,35,54,0.9180550833049982
MC 3º,36,58,0.986059163549813
MC 3º,37,54,0.9180550833049982
MC 3º,38,57,0.9690581434886093
MC 3º,39,61,1.037062223733424
MC 3º,40,58,0.986059163549813
MC 3º,41,60,1.0200612036722203
MC 3º,42,50,0.8500510030601837
MC 3º,43,72,1.2240734444066643
MC 3º,44,49,0.8330499829989799
MC 3º,45,54,0.9180550833049982
MC 3º,46,68,1.1560693641618496
MC 3º,47,56,0.9520571234274057
MC 3º,48,76,1.292077524651479
MC 3º,49,58,0.986059163549813
MC 3º,50,74,1.2580754845290718
MC 3º,51,66,1.1220673240394423
MC 3º,52,67,1.1390683441006462
MC 3º,53,62,1.0540632437946278
MC 3º,54,59,1.0030601836110167
MC 3º,55,60,1.0200612036722203
MC 3º,56,56,0.9520571234274057
MC 3º,57,56,0.9520571234274057
MC 3º,58,54,0.9180550833049982
MC 3º,59,60,1.0200612036722203
MC 3º,60,70,1.190071404284257
MC 3º,61,45,0.7650459027541652
MC 3º,62,49,0.8330499829989799
MC 3º,63,70,1.190071404284257
MC 3º,64,56,0.9520571234274057
MC 3º,65,54,0.9180550833049982
MC 3º,66,69,1.1730703842230534
MC 3º,67,50,0.8500510030601837
MC 3º,68,48,0.8160489629377763
MC 3º,69,71,1.2070724243454607
MC 3º,70,55,0.9350561033662019
MC 3º,71,54,0.9180550833049982
MC 3º,72,59,1.0030601836110167
MC 3º,73,56,0.9520571234274057
MC 3º,74,42,0.7140428425705543
MC 3º,75,52,0.8840530431825909
MC 3º,76,66,1.1220673240394423
MC 3º,77,55,0.9350561033662019
MC 3º,78,41,0.6970418225093505
MC 3º,79,62,1.0540632437946278
MC 3º,80,61,1.037062223733424
MC 3º,81,57,0.9690581434886093
MC 3º,82,54,0.9180550833049982
MC 3º,83,59,1.0030601836110167
MC 3º,84,59,1.0030601836110167
MC 3º,85,66,1.1220673240394423
MC 3º,86,49,0.8330499829989799
MC 3º,87,63,1.0710642638558314
MC 3º,88,64,1.088065283917035
MC 3º,89,56,0.9520571234274057
MC 3º,90,60,1.0200612036722203
MC 3º,91,49,0.8330499829989799
MC 3º,92,64,1.088065283917035
MC 3º,93,63,1.0710642638558314
MC 3º,94,45,0.7650459027541652
MC 3º,95,63,1.0710642638558314
MC 3º,96,52,0.8840530431825909
MC 3º,97,60,1.0200612036722203
MC 3º,98,60,1.0200612036722203
MC 3º,99,60,1.0200612036722203
MC 4º,0,90,1.5300918055083303
MC 4º,1,62,1.0540632437946278
MC 4º,2,57,0.9690581434886093
MC 4º,3,52,0.8840530431825909
MC 4º,4,59,1.0030601836110167
MC 4º,5,68,1.1560693641618496
MC 4º,6,50,0.8500510030601837
MC 4º,7,56,0.9520571234274057
MC 4º,8,76,1.292077524651479
MC 4º,9,53,0.9010540632437947
MC 4º,10,68,1.1560693641618496
MC 4º,11,64,1.088065283917035
MC 4º,12,53,0.9010540632437947
MC 4º,13,49,0.8330499829989799
MC 4º,14,72,1.2240734444066643
MC 4º,15,74,1.2580754845290718
MC 4º,16,55,0.9350561033662019
MC 4º,17,58,0.986059163549813
MC 4º,18,48,0.8160489629377763
MC 4º,19,61,1.037062223733424
MC 4º,20,54,0.9180550833049982
MC 4º,21,46,0.7820469228153689
MC 4º,22,68,1.1560693641618496
MC 4º,23,69,1.1730703842230534
MC 4º,24,50,0.8500510030601837
MC 4º,25,64,1.088065283917035
MC 4º,26,56,0.9520571234274057
MC 4º,27,61,1.037062223733424
MC 4º,28,64,1.088065283917035
MC 4º,29,57,0.9690581434886093
MC 4º,30,55,0.9350561033662019
MC 4º,31,70,1.190071404284257
MC 4º,32,72,1.2240734444066643
MC 4º,33,46,0.7820469228153689
MC 4º,34,45,0.7650459027541652
MC 4º,35,65,1.1050663039782387
MC 4º,36,48,0.8160489629377763
MC 4º,37,45,0.7650459027541652
MC 4º,38,74,1.2580754845290718
MC 4º,39,44,0.7480448826929615
MC 4º,40,88,1.496089765385923
MC 4º,41,66,1.1220673240394423
MC 4º,42,48,0.8160489629377763
MC 4º,43,56,0.9520571234274057
MC 4º,44,55,0.9350561033662019
MC 4º,45,53,0.9010540632437947
MC 4º,46,51,0.8670520231213872
MC 4º,47,62,1.0540632437946278
MC 4º,48,63,1.0710642638558314
MC 4º,49,55,0.9350561033662019
MC 4º,50,72,1.2240734444066643
MC 4º,51,57,0.9690581434886093
MC 4º,52,62,1.0540632437946278
MC 4º,53,49,0.8330499829989799
MC 4º,54,49,0.8330499829989799
MC 4º,55,58,0.986059163549813
MC 4º,56,63,1.0710642638558314
MC 4º,57,63,1.0710642638558314
MC 4º,58,52,0.8840530431825909
MC 4º,59,61,1.037062223733424
MC 4º,60,59,1.0030601836110167
MC 4º,61,55,0.9350561033662019
MC 4º,62,43,0.7310438626317579
MC 4º,63,66,1.1220673240394423
MC 4º,64,59,1.0030601836110167
MC 4º,65,51,0.8670520231213872
MC 4º,66,50,0.8500510030601837
MC 4º,67,68,1.1560693641618496
MC 4º,68,63,1.0710642638558314
MC 4º,69,61,1.037062223733424
MC 4º,70,57,0.9690581434886093
MC 4º,71,52,0.8840530431825909
MC 4º,72,56,0.9520571234274057
MC 4º,73,53,0.9010540632437947
MC 4º,74,53,0.9010540632437947
MC 4º,75,69,1.1730703842230534
MC 4º,76,61,1.037062223733424
MC 4º,77,51,0.8670520231213872
MC 4º,78,54,0.9180550833049982
MC 4º,79,59,1.0030601836110167
MC 4º,80,65,1.1050663039782387
MC 4º,81,66,1.1220673240394423
MC 4º,82,61,1.037062223733424
MC 4º,83,57,0.9690581434886093
MC 4º,84,54,0.9180550833049982
MC 4º,85,59,1.0030601836110167
MC 4º,86,51,0.8670520231213872
MC 4º,87,50,0.8500510030601837
MC 4º,88,50,0.8500510030601837
MC 4º,89,66,1.1220673240394423
MC 4º,90,51,0.8670520231213872
MC 4º,91,58,0.986059163549813
MC 4º,92,54,0.9180550833049982
MC 4º,93,71,1.2070724243454607
MC 4º,94,62,1.0540632437946278
MC 4º,95,69,1.1730703842230534
MC 4º,96,60,1.0200612036722203
MC 4º,97,60,1.0200612036722203
MC 4º,98,60,1.0200612036722203
MC 4º,99,57,0.9690581434886093
MC 5º,0,90,1.5300918055083303
MC 5º,1,61,1.037062223733424
MC 5º,2,65,1.1050663039782387
MC 5º,3,57,0.9690581434886093
MC 5º,4,78,1.3260795647738866
MC 5º,5,73,1.2410744644678682
MC 5º,6,49,0.8330499829989799
MC 5º,7,56,0.9520571234274057
MC 5º,8,59,1.0030601836110167
MC 5º,9,70,1.190071404284257
MC 5º,10,67,1.1390683441006462
MC 5º,11,49,0.8330499829989799
MC 5º,12,59,1.0030601836110167
MC 5º,13,64,1.088065283917035
MC 5º,14,60,1.0200612036722203
MC 5º,15,67,1.1390683441006462
MC 5º,16,57,0.9690581434886093
MC 5º,17,66,1.1220673240394423
MC 5º,18,67,1.1390683441006462
MC 5º,19,50,0.8500510030601837
MC 5º,20,77,1.3090785447126827
MC 5º,21,51,0.8670520231213872
MC 5º,22,63,1.0710642638558314
MC 5º,23,50,0.8500510030601837
MC 5º,24,58,0.986059163549813
MC 5º,25,73,1.2410744644678682
MC 5º,26,70,1.190071404284257
MC 5º,27,51,0.8670520231213872
MC 5º,28,71,1.2070724243454607
MC 5º,29,59,1.0030601836110167
MC 5º,30,65,1.1050663039782387
MC 5º,31,70,1.190071404284257
MC 5º,32,62,1.0540632437946278
MC 5º,33,66,1.1220673240394423
MC 5º,34,57,0.9690581434886093
MC 5º,35,62,1.0540632437946278
MC 5º,36,50,0.8500510030601837
MC 5º,37,60,1.0200612036722203
MC 5º,38,52,0.8840530431825909
MC 5º,39,62,1.0540632437946278
MC 5º,40,58,0.986059163549813
MC 5º,41,61,1.037062223733424
MC 5º,42,63,1.0710642638558314
MC 5º,43,60,1.0200612036722203
MC 5º,44,55,0.9350561033662019
MC 5º,45,54,0.9180550833049982
MC 5º,46,59,1.0030601836110167
MC 5º,47,52,0.8840530431825909
MC 5º,48,58,0.986059163549813
MC 5º,49,54,0.9180550833049982
MC 5º,50,50,0.8500510030601837
MC 5º,51,47,0.7990479428765727
MC 5º,52,44,0.7480448826929615
MC 5º,53,49,0.8330499829989799
MC 5º,54,52,0.8840530431825909
MC 5º,55,53,0.9010540632437947
MC 5º,56,57,0.9690581434886093
MC 5º,57,65,1.1050663039782387
MC 5º,58,67,1.1390683441006462
MC 5º,59,52,0.8840530431825909
MC 5º,60,56,0.9520571234274057
MC 5º,61,51,0.8670520231213872
MC 5º,62,64,1.088065283917035
MC 5º,63,53,0.9010540632437947
MC 5º,64,43,0.7310438626317579
MC 5º,65,55,0.9350561033662019
MC 5º,66,50,0.8500510030601837
MC 5º,67,62,1.0540632437946278
MC 5º,68,58,0.986059163549813
MC 5º,69,59,1.0030601836110167
MC 5º,70,67,1.1390683441006462
MC 5º,71,50,0.8500510030601837
MC 5º,72,52,0.8840530431825909
MC 5º,73,50,0.8500510030601837
MC 5º,74,76,1.292077524651479
MC 5º,75,45,0.7650459027541652
MC 5º,76,59,1.0030601836110167
MC 5º,77,54,0.9180550833049982
MC 5º,78,44,0.7480448826929615
MC 5º,79,49,0.8330499829989799
MC 5º,80,56,0.9520571234274057
MC 5º,81,63,1.0710642638558314
MC 5º,82,62,1.0540632437946278
MC 5º,83,55,0.9350561033662019
MC 5º,84,60,1.0200612036722203
MC 5º,85,49,0.8330499829989799
MC 5º,86,62,1.0540632437946278
MC 5º,87,63,1.0710642638558314
MC 5º,88,61,1.037062223733424
MC 5º,89,64,1.088065283917035
MC 5º,90,57,0.9690581434886093
MC 5º,91,58,0.986059163549813
MC 5º,92,60,1.0200612036722203
MC 5º,93,57,0.9690581434886093
MC 5º,94,56,0.9520571234274057
MC 5º,95,53,0.9010540632437947
MC 5º,96,67,1.1390683441006462
MC 5º,97,64,1.088065283917035
MC 5º,98,49,0.8330499829989799
MC 5º,99,66,1.1220673240394423
