Concurso,Data,Dia da Semana,Sorteio,Dezena 0,Atraso
5885,2024-07-20,Sábado,MC 3º,0,5885
5884,2024-07-17,Quarta-feira,MC 3º,0,-1
5870,2024-05-29,Quarta-feira,MC 4º,0,-14
5860,2024-04-24,Quarta-feira,MC 2º,0,-10
5819,2023-11-22,Quarta-feira,MC 2º,0,-41
5808,2023-10-14,Sábado,MC 5º,0,-11
5784,2023-07-22,Sábado,MC 3º,0,-24
5775,2023-06-21,Quarta-feira,MC 2º,0,-9
5737,2023-02-04,Sábado,MC 2º,0,-38
5704,2022-10-05,Quarta-feira,MC 4º,0,-33
5644,2022-03-09,Quarta-feira,MC 5º,0,-60
5639,2022-02-16,Quarta-feira,MC 5º,0,-5
5633,2022-01-26,Quarta-feira,MC 2º,0,-6
5630,2022-01-15,Sábado,MC 5º,0,-3
5627,2022-01-05,Quarta-feira,MC 5º,0,-3
5626,2021-12-31,Sexta-feira,MC 3º,0,-1
5602,2021-10-02,Sábado,MC 4º,0,-24
5569,2021-06-09,Quarta-feira,MC 1º,0,-33
5555,2021-04-14,Quarta-feira,MC 2º,0,-14
5553,2021-04-07,Quarta-feira,MC 5º,0,-2
5522,2020-12-12,Sábado,MC 1º,0,-31
5512,2020-11-07,Sábado,MC 4º,0,-10
5457,2020-01-08,Quarta-feira,MC 3º,0,-55
5440,2019-11-13,Quarta-feira,MC 1º,0,-17
5427,2019-09-28,Sábado,MC 4º,0,-13
5424,2019-09-18,Quarta-feira,MC 2º,0,-3
5423,2019-09-14,Sábado,MC 1º,0,-1
5406,2019-07-17,Quarta-feira,MC 3º,0,-17
5402,2019-07-03,Quarta-feira,MC 1º,0,-4
5371,2019-03-16,Sábado,MC 5º,0,-31
5365,2019-02-23,Sábado,MC 3º,0,-6
5356,2019-01-23,Quarta-feira,MC 1º,0,-9
5348,2018-12-26,Quarta-feira,MC 5º,0,-8
5339,2018-11-24,Sábado,MC 2º,0,-9
5307,2018-08-04,Sábado,MC 3º,0,-32
5287,2018-05-26,Sábado,MC 2º,0,-20
5270,2018-03-28,Quarta-feira,MC 1º,0,-17
5269,2018-03-24,Sábado,MC 3º,0,-1
5264,2018-03-07,Quarta-feira,MC 5º,0,-5
5244,2017-12-27,Quarta-feira,MC 4º,0,-20
5233,2017-11-18,Sábado,MC 1º,0,-11
5202,2017-08-02,Quarta-feira,MC 3º,0,-31
5199,2017-07-22,Sábado,MC 5º,0,-3
5183,2017-05-27,Sábado,MC 1º,0,-16
5164,2017-03-22,Quarta-feira,MC 4º,0,-19
5162,2017-03-15,Quarta-feira,MC 5º,0,-2
5157,2017-02-25,Sábado,MC 1º,0,-5
5144,2017-01-11,Quarta-feira,MC 1º,0,-13
5142,2017-01-04,Quarta-feira,MC 1º,0,-2
5122,2016-10-26,Quarta-feira,MC 4º,0,-20
5120,2016-10-19,Quarta-feira,MC 3º,0,-2
5106,2016-08-31,Quarta-feira,MC 3º,0,-14
5101,2016-08-13,Sábado,MC 2º,0,-5
5062,2016-03-30,Quarta-feira,MC 1º,0,-39
5027,2015-11-28,Sábado,MC 2º,0,-35
5018,2015-10-28,Quarta-feira,MC 5º,0,-9
5015,2015-10-17,Sábado,MC 4º,0,-3
5011,2015-10-03,Sábado,MC 3º,0,-4
5010,2015-09-30,Quarta-feira,MC 2º,0,-1
5000,2015-08-26,Quarta-feira,MC 3º,0,-10
4930,2014-12-24,Quarta-feira,MC 5º,0,-70
4894,2014-08-20,Quarta-feira,MC 4º,0,-36
4893,2014-08-16,Sábado,MC 1º,0,-1
4879,2014-06-28,Sábado,MC 4º,0,-14
4858,2014-04-16,Quarta-feira,MC 1º,0,-21
4853,2014-03-29,Sábado,MC 2º,0,-5
4847,2014-03-08,Sábado,MC 2º,0,-6
4845,2014-03-01,Sábado,MC 4º,0,-2
4820,2013-12-04,Quarta-feira,MC 2º,0,-25
4807,2013-10-19,Sábado,MC 5º,0,-13
4772,2013-06-19,Quarta-feira,MC 2º,0,-35
4748,2013-03-27,Quarta-feira,MC 3º,0,-24
4736,2013-02-13,Quarta-feira,MC 4º,0,-12
4705,2012-10-27,Sábado,MC 3º,0,-31
4697,2012-09-29,Sábado,MC 3º,0,-8
4671,2012-06-30,Sábado,MC 1º,0,-26
4659,2012-05-19,Sábado,MC 3º,0,-12
4655,2012-05-05,Sábado,MC 3º,0,-4
4651,2012-04-20,Sexta-feira,MC 2º,0,-4
4634,2012-02-22,Quarta-feira,MC 5º,0,-17
4622,2012-01-11,Quarta-feira,MC 4º,0,-12
4591,2011-09-24,Sábado,MC 1º,0,-31
4559,2011-06-04,Sábado,MC 4º,0,-32
4525,2011-02-05,Sábado,MC 3º,0,-34
4493,2010-10-16,Sábado,MC 1º,0,-32
4454,2010-06-02,Quarta-feira,MC 3º,0,-39
4445,2010-04-28,Quarta-feira,MC 2º,0,-9
4437,2010-03-31,Quarta-feira,MC 1º,0,-8
4424,2010-02-13,Sábado,MC 5º,0,-13
4409,2009-12-23,Quarta-feira,MC 3º,0,-15
4393,2009-10-28,Quarta-feira,MC 4º,0,-16
4361,2009-07-08,Quarta-feira,MC 1º,0,-32
4351,2009-06-03,Quarta-feira,MC 2º,0,-10
4334,2009-04-04,Sábado,MC 5º,0,-17
4327,2009-03-11,Quarta-feira,MC 2º,0,-7
4285,2008-10-11,Sábado,MC 1º,0,-42
4273,2008-08-30,Sábado,MC 1º,0,-12
4260,2008-07-16,Quarta-feira,MC 5º,0,-13
4258,2008-07-09,Quarta-feira,MC 5º,0,-2
4219,2008-02-23,Sábado,MC 1º,0,-39
4212,2008-01-30,Quarta-feira,MC 2º,0,-7
4207,2008-01-12,Sábado,MC 5º,0,-5
4196,2007-12-05,Quarta-feira,MC 3º,0,-11
4187,2007-11-03,Sábado,MC 4º,0,-9
4176,2007-09-26,Quarta-feira,MC 4º,0,-11
4163,2007-08-11,Sábado,MC 3º,0,-13
4139,2007-05-19,Sábado,MC 4º,0,-24
4135,2007-05-05,Sábado,MC 2º,0,-4
4113,2007-02-14,Quarta-feira,MC 3º,0,-22
4079,2006-10-14,Sábado,MC 4º,0,-34
4070,2006-09-13,Quarta-feira,MC 2º,0,-9
4061,2006-08-12,Sábado,MC 2º,0,-9
4054,2006-07-19,Quarta-feira,MC 2º,0,-7
4040,2006-05-31,Quarta-feira,MC 2º,0,-14
4032,2006-05-03,Quarta-feira,MC 2º,0,-8
3989,2005-12-03,Sábado,MC 5º,0,-43
3929,2005-04-27,Quarta-feira,MC 4º,0,-60
3925,2005-04-13,Quarta-feira,MC 1º,0,-4
3863,2004-09-01,Quarta-feira,MC 4º,0,-62
3859,2004-08-18,Quarta-feira,MC 1º,0,-4
3846,2004-07-03,Sábado,MC 1º,0,-13
3821,2004-03-31,Quarta-feira,MC 3º,0,-25
3808,2004-02-11,Quarta-feira,MC 2º,0,-13
3796,2003-12-27,Sábado,MC 5º,0,-12
3771,2003-09-24,Quarta-feira,MC 5º,0,-25
3765,2003-09-03,Quarta-feira,MC 5º,0,-6
3745,2003-06-25,Quarta-feira,MC 2º,0,-20
3743,2003-06-18,Quarta-feira,MC 2º,0,-2
3736,2003-05-24,Sábado,MC 2º,0,-7
3667,2002-08-28,Quarta-feira,MC 5º,0,-69
3659,2002-07-31,Quarta-feira,MC 2º,0,-8
3636,2002-05-04,Sábado,MC 2º,0,-23
3632,2002-04-17,Quarta-feira,MC 1º,0,-4
